id,Publishing Year,Book Name,Author,language_code,Author_Rating,Book_average_rating,Book_ratings_count,genre
121,1909,Le FantÃ´me de l'OpÃ©ra,"Gaston Leroux, Alexander Teixeira de Mattos",eng,Intermediate,3.97,141110,genre fiction
122,2006,"Definitely Dead (Sookie Stackhouse, #6)",Charlaine Harris,en-US,Intermediate,4.02,163054,genre fiction
123,1995,Ensaio Sobre a Cegueira,"JosÃ© Saramago, Giovanni Pontiero",en-US,Intermediate,4.08,98738,genre fiction
124,2010,Freedom,Jonathan Franzen,en-US,Intermediate,3.73,119213,genre fiction
125,2011,Crossed,Ally Condie,eng,Intermediate,3.52,100886,genre fiction
126,2006,"I'd Tell You I Love You, But Then I'd Have to Kill You",Ally Carter,en-US,Intermediate,3.82,150222,genre fiction
127,2008,The White Tiger,Aravind Adiga,eng,Intermediate,3.71,114531,genre fiction
128,2001,The Corrections,Jonathan Franzen,eng,Intermediate,3.78,117657,genre fiction
129,1995,Dreams from My Father,Barack Obama,eng,Intermediate,3.81,128961,nonfiction
130,1980,Congo,Michael Crichton,eng,Intermediate,3.55,129811,nonfiction
131,1972,"Alexander and the Terrible, Horrible, No Good, Very Bad Day","Judith Viorst, Ray Cruz",en-CA,Intermediate,4.22,146073,genre fiction
132,1999,Interpreter of Maladies,Jhumpa Lahiri,eng,Intermediate,4.12,110651,genre fiction
133,1980,A People's History of the United States: 1492 to Present ,Howard Zinn,eng,Intermediate,4.07,137372,genre fiction
134,1958,Breakfast at Tiffany's,Truman Capote,eng,Intermediate,3.89,129778,genre fiction
135,2010,The Passage,Justin Cronin,eng,Intermediate,4.04,126993,genre fiction
136,2005,Anansi Boys,Neil Gaiman,eng,Intermediate,4,137639,nonfiction
137,2009,Along for the Ride,Sarah Dessen,eng,Intermediate,4.08,151721,genre fiction
138,2014,Everything I Never Told You,Celeste Ng,eng,Intermediate,3.78,108703,genre fiction
139,1982,La casa de los espÃ­ritus,"Isabel Allende, Magda Bogin",en-US,Intermediate,4.2,119930,genre fiction
140,1979,The Dead Zone,Stephen King,en-US,Intermediate,3.9,132723,genre fiction
