id,gross sales,publisher revenue,sale price,sales rank,Publisher ,units sold
185,5433.18,3259.908,10.91,201,Penguin Group (USA) LLC,498
186,1483.04,0,2.99,202,"Amazon Digital Services,  Inc.",496
187,2950.91,1770.546,6.01,205,HarperCollins Publishers,491
188,2445.1,1467.06,4.99,206,Hachette Book Group,490
189,483.12,289.872,0.99,207,"Amazon Digital Services,  Inc.",488
190,2605.92,1563.552,5.34,207,Penguin Group (USA) LLC,488
191,5269.53,3161.718,10.91,210,Penguin Group (USA) LLC,483
192,2057.58,1234.548,4.26,210,HarperCollins Publishing,483
193,476.19,0,0.99,211,"Amazon Digital Services,  Inc.",481
194,475.2,285.12,0.99,212,"Amazon Digital Services,  Inc.",480
195,1429.22,0,2.99,213,"Amazon Digital Services,  Inc.",478
196,5253.22,3151.932,10.99,213,Random House LLC,478
197,1423.24,0,2.99,214,"Amazon Digital Services,  Inc.",476
198,2375.24,1425.144,4.99,214,Hachette Book Group,476
199,470.25,0,0.99,215,"Amazon Digital Services,  Inc.",475
200,470.25,282.15,0.99,215,"Amazon Digital Services,  Inc.",475
201,1399.32,0,2.99,219,"Amazon Digital Services,  Inc.",468
202,461.34,0,0.99,220,"Amazon Digital Services,  Inc.",466
203,1393.34,0,2.99,220,"Amazon Digital Services,  Inc.",466
204,460.35,276.21,0.99,221,Macmillan,465
205,455.4,273.24,0.99,224,Random House LLC,460
206,455.4,0,0.99,224,"Amazon Digital Services,  Inc.",460
207,3643.44,0,7.99,226,"Amazon Digital Services,  Inc.",456
208,1815.45,1089.27,3.99,227,"Amazon Digital Services,  Inc.",455
209,5000.45,3000.27,10.99,227,Simon and Schuster Digital Sales Inc,455
210,5195.91,3117.546,11.47,228,Random House LLC,453
211,448.47,0,0.99,228,"Amazon Digital Services,  Inc.",453
212,2250.49,1350.294,4.99,229,Penguin Group (USA) LLC,451
213,4792.5,2875.5,10.65,230,Random House LLC,450
214,4771.2,2862.72,10.65,231,Penguin Group (USA) LLC,448
215,443.52,266.112,0.99,231,"Amazon Digital Services,  Inc.",448
216,1324.57,794.742,2.99,234,Simon and Schuster Digital Sales Inc,443
217,8811.18,5286.708,19.98,235,Random House LLC,441
218,2175.64,1305.384,4.99,238,Random House LLC,436
219,430.65,0,0.99,239,"Amazon Digital Services,  Inc.",435
220,5191.67,3115.002,11.99,240,Penguin Group (USA) LLC,433
221,2593.67,1556.202,5.99,240,Hachette Book Group,433
222,426.69,256.014,0.99,241,"Amazon Digital Services,  Inc.",431
223,425.7,255.42,0.99,242,Random House LLC,430
224,5107.74,3064.644,11.99,244,Penguin Group (USA) LLC,426
225,3821.22,2292.732,8.97,244,"Amazon Digital Services,  Inc.",426
226,420.75,252.45,0.99,245,Macmillan,425
227,1687.77,0,3.99,246,"Amazon Digital Services,  Inc.",423
228,4473,2683.8,10.65,248,Random House LLC,420
229,413.82,248.292,0.99,249,Macmillan,418
230,411.84,0,0.99,250,"Amazon Digital Services,  Inc.",416
231,2070.85,1242.51,4.99,251,Random House LLC,415
232,2537.9,1522.74,6.19,254,"Amazon Digital Services,  Inc.",410
233,1219.92,0,2.99,255,"Amazon Digital Services,  Inc.",408
234,1685.04,1011.024,4.13,255,"Amazon Digital Services,  Inc.",408
